L1,L2,F1,F2,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
0.100,-0.100,0.100,0.100,15.387,87.756,13.687,15.169,87.756,13.309,10.882,87.755,13.373,10.523,87.755,13.752
0.200,-0.200,0.721,0.100,15.110,87.753,13.689,14.891,87.750,13.310,10.604,87.702,13.375,10.246,87.698,13.753
0.300,-0.300,1.702,0.100,14.872,87.738,13.687,14.654,87.732,13.309,10.368,87.629,13.373,10.009,87.621,13.752
0.400,-0.400,1.702,0.100,14.872,87.738,13.687,14.654,87.732,13.309,10.368,87.629,13.373,10.009,87.621,13.752
0.500,-0.500,3.326,0.100,14.294,87.715,13.688,14.075,87.705,13.309,9.792,87.488,13.374,9.432,87.473,13.753
0.600,-0.600,3.603,0.100,13.819,87.716,13.694,13.600,87.703,13.315,9.321,87.427,13.380,8.962,87.406,13.759
0.700,-0.700,4.216,0.100,13.432,87.706,13.699,13.214,87.690,13.320,8.938,87.356,13.385,8.579,87.331,13.765
0.800,-0.800,4.216,0.100,13.432,87.706,13.699,13.214,87.690,13.320,8.938,87.356,13.385,8.579,87.331,13.765
0.900,-0.900,5.937,0.100,12.877,87.661,13.701,12.660,87.639,13.322,8.393,87.194,13.387,8.034,87.161,13.767
1.000,-1.000,6.403,0.100,12.482,87.642,13.705,12.265,87.616,13.326,8.006,87.113,13.391,7.647,87.076,13.771
1.100,-1.100,6.403,0.100,12.482,87.642,13.705,12.265,87.616,13.326,8.006,87.113,13.391,7.647,87.076,13.771
1.200,-1.200,8.125,0.100,11.915,87.584,13.706,11.698,87.554,13.327,7.452,86.939,13.392,7.093,86.893,13.772
1.300,-1.300,8.565,0.100,11.510,87.557,13.709,11.294,87.523,13.331,7.057,86.851,13.396,6.699,86.801,13.776
1.400,-1.400,8.565,0.100,11.510,87.557,13.709,11.294,87.523,13.331,7.057,86.851,13.396,6.699,86.801,13.776
1.500,-1.500,10.276,0.100,10.940,87.486,13.710,10.725,87.447,13.332,6.505,86.664,13.397,6.148,86.605,13.778
1.600,-1.600,10.717,0.100,10.538,87.449,13.714,10.323,87.407,13.336,6.116,86.567,13.401,5.760,86.504,13.782
1.700,-1.700,10.717,0.100,10.538,87.449,13.714,10.323,87.407,13.336,6.116,86.567,13.401,5.760,86.504,13.782
1.800,-1.800,12.434,0.100,9.973,87.365,13.715,9.759,87.317,13.337,5.573,86.367,13.403,5.218,86.296,13.783
1.900,-1.900,12.876,0.100,9.573,87.320,13.719,9.361,87.269,13.341,5.189,86.262,13.407,4.835,86.186,13.787
2.000,-2.000,13.617,0.100,9.246,87.272,13.722,9.034,87.218,13.343,4.876,86.156,13.409,4.522,86.076,13.790
2.100,-2.100,13.617,0.100,9.246,87.272,13.722,9.034,87.218,13.343,4.876,86.156,13.409,4.522,86.076,13.790
2.200,-2.200,15.366,0.100,8.714,87.168,13.721,8.503,87.109,13.343,4.372,85.938,13.409,4.020,85.850,13.790
2.300,-2.300,15.797,0.100,8.314,87.111,13.725,8.105,87.050,13.347,3.991,85.823,13.412,3.640,85.731,13.794
2.400,-2.400,15.797,0.100,8.314,87.111,13.725,8.105,87.050,13.347,3.991,85.823,13.412,3.640,85.731,13.794
2.500,-2.500,17.476,0.100,7.741,86.995,13.726,7.533,86.929,13.348,3.451,85.594,13.414,3.101,85.494,13.795
2.600,-2.600,17.884,0.100,7.334,86.930,13.730,7.127,86.861,13.352,3.064,85.471,13.418,2.716,85.366,13.799
2.700,-2.700,17.884,0.100,7.334,86.930,13.730,7.127,86.861,13.352,3.064,85.471,13.418,2.716,85.366,13.799
2.800,-2.800,19.585,0.100,6.773,86.800,13.731,6.568,86.725,13.353,2.541,85.229,13.419,2.195,85.116,13.801
2.900,-2.900,20.020,0.100,6.381,86.727,13.735,6.177,86.649,13.357,2.172,85.098,13.423,1.827,84.981,13.805
3.000,-3.000,20.020,0.100,6.381,86.727,13.735,6.177,86.649,13.357,2.172,85.098,13.423,1.827,84.981,13.805
3.100,-3.100,21.733,0.100,5.830,86.583,13.736,5.628,86.500,13.358,1.663,84.845,13.424,1.320,84.719,13.806
3.200,-3.200,22.164,0.100,5.439,86.501,13.740,5.238,86.415,13.361,1.297,84.707,13.428,0.956,84.577,13.810
3.300,-3.300,22.895,0.100,5.118,86.421,13.742,4.918,86.333,13.363,1.000,84.571,13.430,0.660,84.437,13.812
3.400,-3.400,22.895,0.100,5.118,86.421,13.742,4.918,86.333,13.363,1.000,84.571,13.430,0.660,84.437,13.812
3.500,-3.500,24.633,0.100,4.599,86.261,13.741,4.401,86.167,13.363,0.528,84.304,13.429,0.190,84.162,13.812
3.600,-3.600,25.051,0.100,4.208,86.168,13.744,4.012,86.072,13.366,0.166,84.156,13.433,-0.170,84.010,13.815
3.700,-3.700,25.051,0.100,4.208,86.168,13.744,4.012,86.072,13.366,0.166,84.156,13.433,-0.170,84.010,13.815
3.800,-3.800,26.722,0.100,3.651,85.993,13.745,3.457,85.892,13.367,-0.340,83.875,13.434,-0.673,83.721,13.816
3.900,-3.900,27.119,0.100,3.254,85.891,13.749,3.062,85.787,13.371,-0.705,83.720,13.438,-1.036,83.561,13.821
4.000,-4.000,27.836,0.100,2.935,85.794,13.751,2.744,85.688,13.373,-0.996,83.570,13.440,-1.325,83.407,13.823
4.100,-4.100,27.836,0.100,2.935,85.794,13.751,2.744,85.688,13.373,-0.996,83.570,13.440,-1.325,83.407,13.823
4.200,-4.200,29.576,0.100,2.429,85.604,13.751,2.241,85.493,13.372,-1.445,83.277,13.440,-1.772,83.107,13.823
4.300,-4.300,29.993,0.100,2.048,85.492,13.754,1.861,85.378,13.376,-1.793,83.113,13.443,-2.117,82.939,13.826
4.400,-4.400,29.993,0.100,2.048,85.492,13.754,1.861,85.378,13.376,-1.793,83.113,13.443,-2.117,82.939,13.826
4.500,-4.500,31.665,0.100,1.504,85.287,13.754,1.321,85.168,13.376,-2.275,82.807,13.444,-2.596,82.625,13.827
4.600,-4.600,32.056,0.100,1.115,85.165,13.758,0.933,85.044,13.380,-2.628,82.635,13.448,-2.946,82.449,13.831
4.700,-4.700,32.765,0.100,0.801,85.051,13.760,0.621,84.928,13.382,-2.908,82.471,13.450,-3.225,82.281,13.833
4.800,-4.800,32.765,0.100,0.801,85.051,13.760,0.621,84.928,13.382,-2.908,82.471,13.450,-3.225,82.281,13.833
4.900,-4.900,34.500,0.100,0.307,84.833,13.759,0.130,84.705,13.381,-3.337,82.156,13.449,-3.649,81.959,13.833
5.000,-5.000,34.909,0.100,-0.066,84.702,13.763,-0.242,84.571,13.384,-3.672,81.977,13.453,-3.982,81.775,13.836
5.100,-5.100,34.909,0.100,-0.066,84.702,13.763,-0.242,84.571,13.384,-3.672,81.977,13.453,-3.982,81.775,13.836
5.200,-5.200,36.579,0.100,-0.595,84.467,13.763,-0.767,84.333,13.384,-4.131,81.647,13.453,-4.437,81.438,13.837
5.300,-5.300,36.963,0.100,-0.976,84.327,13.767,-1.146,84.190,13.388,-4.471,81.460,13.457,-4.774,81.247,13.841
5.400,-5.400,37.665,0.100,-1.283,84.197,13.769,-1.451,84.058,13.390,-4.739,81.283,13.459,-5.040,81.066,13.843
5.500,-5.500,37.665,0.100,-1.283,84.197,13.769,-1.451,84.058,13.390,-4.739,81.283,13.459,-5.040,81.066,13.843
5.600,-5.600,39.397,0.100,-1.762,83.951,13.768,-1.927,83.807,13.389,-5.145,80.946,13.458,-5.441,80.723,13.843
5.700,-5.700,39.800,0.100,-2.127,83.801,13.771,-2.289,83.655,13.392,-5.466,80.752,13.462,-5.759,80.524,13.846
5.800,-5.800,39.800,0.100,-2.127,83.801,13.771,-2.289,83.655,13.392,-5.466,80.752,13.462,-5.759,80.524,13.846
5.900,-5.900,41.468,0.100,-2.639,83.539,13.771,-2.798,83.389,13.392,-5.901,80.401,13.462,-6.189,80.167,13.846
6.000,-6.000,41.845,0.100,-3.010,83.380,13.774,-3.166,83.228,13.396,-6.226,80.200,13.466,-6.512,79.961,13.850
6.100,-6.100,41.845,0.100,-3.010,83.380,13.774,-3.166,83.228,13.396,-6.226,80.200,13.466,-6.512,79.961,13.850
6.200,-6.200,43.526,0.100,-3.508,83.106,13.774,-3.661,82.950,13.396,-6.644,79.841,13.466,-6.924,79.595,13.851
6.300,-6.300,43.923,0.100,-3.864,82.941,13.778,-4.015,82.783,13.399,-6.953,79.635,13.469,-7.230,79.386,13.854
6.400,-6.400,44.625,0.100,-4.155,82.789,13.779,-4.304,82.629,13.400,-7.199,79.442,13.471,-7.473,79.189,13.856
6.500,-6.500,44.625,0.100,-4.155,82.789,13.779,-4.304,82.629,13.400,-7.199,79.442,13.471,-7.473,79.189,13.856
6.600,-6.600,46.356,0.100,-4.610,82.506,13.777,-4.754,82.342,13.399,-7.570,79.078,13.470,-7.839,78.819,13.855
6.700,-6.700,46.744,0.100,-4.961,82.331,13.780,-5.103,82.165,13.402,-7.872,78.865,13.473,-8.137,78.602,13.858
6.800,-6.800,46.744,0.100,-4.961,82.331,13.780,-5.103,82.165,13.402,-7.872,78.865,13.473,-8.137,78.602,13.858
6.900,-6.900,48.406,0.100,-5.449,82.030,13.780,-5.586,81.861,13.402,-8.271,78.487,13.473,-8.530,78.217,13.858
7.000,-7.000,48.773,0.100,-5.803,81.846,13.784,-5.939,81.675,13.405,-8.574,78.266,13.477,-8.831,77.993,13.862
7.100,-7.100,49.454,0.100,-6.090,81.679,13.785,-6.223,81.506,13.407,-8.812,78.061,13.478,-9.065,77.785,13.863
7.200,-7.200,49.454,0.100,-6.090,81.679,13.785,-6.223,81.506,13.407,-8.812,78.061,13.478,-9.065,77.785,13.863
7.300,-7.300,51.184,0.100,-6.526,81.371,13.784,-6.654,81.194,13.405,-9.157,77.682,13.477,-9.404,77.399,13.863
7.400,-7.400,51.569,0.100,-6.863,81.180,13.786,-6.989,81.002,13.408,-9.442,77.457,13.480,-9.685,77.171,13.866
7.500,-7.500,51.569,0.100,-6.863,81.180,13.786,-6.989,81.002,13.408,-9.442,77.457,13.480,-9.685,77.171,13.866
7.600,-7.600,53.234,0.100,-7.328,80.854,13.786,-7.449,80.673,13.407,-9.812,77.062,13.480,-10.049,76.771,13.866
7.700,-7.700,53.594,0.100,-7.670,80.654,13.789,-7.789,80.471,13.411,-10.099,76.830,13.483,-10.333,76.535,13.869
7.800,-7.800,53.594,0.100,-7.670,80.654,13.789,-7.789,80.471,13.411,-10.099,76.830,13.483,-10.333,76.535,13.869
7.900,-7.900,55.269,0.100,-8.120,80.319,13.788,-8.234,80.133,13.410,-10.452,76.430,13.483,-10.679,76.129,13.869
8.000,-8.000,55.646,0.100,-8.448,80.113,13.791,-8.560,79.926,13.413,-10.724,76.195,13.486,-10.947,75.891,13.873
8.100,-8.100,56.324,0.100,-8.715,79.926,13.792,-8.824,79.737,13.414,-10.939,75.977,13.487,-11.158,75.670,13.873
8.200,-8.200,56.324,0.100,-8.715,79.926,13.792,-8.824,79.737,13.414,-10.939,75.977,13.487,-11.158,75.670,13.873
8.300,-8.300,58.054,0.100,-9.121,79.586,13.790,-9.225,79.394,13.412,-11.245,75.578,13.486,-11.458,75.266,13.872
8.400,-8.400,58.426,0.100,-9.441,79.372,13.793,-9.543,79.179,13.414,-11.508,75.338,13.489,-11.717,75.023,13.875
8.500,-8.500,58.426,0.100,-9.441,79.372,13.793,-9.543,79.179,13.414,-11.508,75.338,13.489,-11.717,75.023,13.875
8.600,-8.600,60.086,0.100,-9.875,79.014,13.792,-9.971,78.818,13.413,-11.839,74.923,13.488,-12.040,74.603,13.875
8.700,-8.700,60.437,0.100,-10.197,78.791,13.795,-10.291,78.594,13.416,-12.103,74.677,13.492,-12.300,74.353,13.879
8.800,-8.800,60.437,0.100,-10.197,78.791,13.795,-10.291,78.594,13.416,-12.103,74.677,13.492,-12.300,74.353,13.879
8.900,-8.900,62.108,0.100,-10.614,78.424,13.794,-10.703,78.225,13.415,-12.415,74.258,13.491,-12.605,73.930,13.878
9.000,-9.000,62.475,0.100,-10.923,78.197,13.796,-11.009,77.997,13.418,-12.664,74.009,13.494,-12.850,73.679,13.881
9.100,-9.100,63.136,0.100,-11.174,77.991,13.797,-11.257,77.790,13.418,-12.858,73.779,13.494,-13.040,73.445,13.882
9.200,-9.200,63.136,0.100,-11.174,77.991,13.797,-11.257,77.790,13.418,-12.858,73.779,13.494,-13.040,73.445,13.882
9.300,-9.300,64.867,0.100,-11.546,77.623,13.794,-11.624,77.419,13.416,-13.125,73.365,13.493,-13.299,73.028,13.880
9.400,-9.400,65.230,0.100,-11.846,77.388,13.797,-11.921,77.184,13.418,-13.363,73.112,13.496,-13.534,72.772,13.883
9.500,-9.500,65.230,0.100,-11.846,77.388,13.797,-11.921,77.184,13.418,-13.363,73.112,13.496,-13.534,72.772,13.883
9.600,-9.600,66.890,0.100,-12.243,77.001,13.795,-12.313,76.794,13.417,-13.652,72.682,13.495,-13.815,72.338,13.883
9.700,-9.700,67.231,0.100,-12.544,76.758,13.798,-12.611,76.550,13.420,-13.891,72.424,13.498,-14.049,72.077,13.886
9.800,-9.800,67.872,0.100,-12.787,76.538,13.798,-12.851,76.329,13.420,-14.075,72.184,13.498,-14.228,71.835,13.886
9.900,-9.900,67.872,0.100,-12.787,76.538,13.798,-12.851,76.329,13.420,-14.075,72.184,13.498,-14.228,71.835,13.886
10.000,-10.000,69.603,0.100,-13.135,76.151,13.796,-13.194,75.941,13.418,-14.313,71.763,13.497,-14.459,71.410,13.885
10.100,-10.100,69.961,0.100,-13.417,75.905,13.798,-13.473,75.694,13.420,-14.534,71.503,13.499,-14.675,71.148,13.888
10.200,-10.200,69.961,0.100,-13.417,75.905,13.798,-13.473,75.694,13.420,-14.534,71.503,13.499,-14.675,71.148,13.888
10.300,-10.300,71.624,0.100,-13.787,75.499,13.796,-13.838,75.287,13.418,-14.792,71.065,13.498,-14.925,70.707,13.887
10.400,-10.400,71.960,0.100,-14.072,75.243,13.799,-14.119,75.030,13.420,-15.013,70.800,13.501,-15.141,70.439,13.890
10.500,-10.500,71.960,0.100,-14.072,75.243,13.799,-14.119,75.030,13.420,-15.013,70.800,13.501,-15.141,70.439,13.890
10.600,-10.600,73.627,0.100,-14.427,74.832,13.797,-14.469,74.618,13.418,-15.255,70.360,13.500,-15.375,69.996,13.889
10.700,-10.700,73.974,0.100,-14.698,74.573,13.799,-14.737,74.358,13.420,-15.462,70.094,13.503,-15.578,69.728,13.891
10.800,-10.800,73.974,0.100,-14.698,74.573,13.799,-14.737,74.358,13.420,-15.462,70.094,13.503,-15.578,69.728,13.891
10.900,-10.900,75.647,0.100,-15.038,74.155,13.797,-15.072,73.939,13.418,-15.688,69.653,13.501,-15.796,69.284,13.890
11.000,-11.000,75.993,0.100,-15.302,73.891,13.798,-15.333,73.675,13.420,-15.888,69.384,13.503,-15.991,69.014,13.892
11.100,-11.100,76.617,0.100,-15.518,73.651,13.798,-15.545,73.435,13.419,-16.041,69.135,13.503,-16.139,68.763,13.892
11.200,-11.200,76.617,0.100,-15.518,73.651,13.798,-15.545,73.435,13.419,-16.041,69.135,13.503,-16.139,68.763,13.892
11.300,-11.300,78.351,0.100,-15.818,73.237,13.795,-15.840,73.020,13.416,-16.228,68.705,13.501,-16.318,68.330,13.891
11.400,-11.400,78.694,0.100,-16.071,72.968,13.796,-16.089,72.751,13.418,-16.417,68.434,13.504,-16.502,68.058,13.893
11.500,-11.500,78.694,0.100,-16.071,72.968,13.796,-16.089,72.751,13.418,-16.417,68.434,13.504,-16.502,68.058,13.893
11.600,-11.600,80.356,0.100,-16.389,72.535,13.794,-16.402,72.317,13.416,-16.621,67.988,13.502,-16.696,67.610,13.892
11.700,-11.700,80.681,0.100,-16.642,72.258,13.796,-16.652,72.040,13.418,-16.809,67.713,13.505,-16.879,67.333,13.894
11.800,-11.800,81.286,0.100,-16.844,72.007,13.795,-16.851,71.789,13.417,-16.948,67.458,13.504,-17.013,67.077,13.894
11.900,-11.900,81.286,0.100,-16.844,72.007,13.795,-16.851,71.789,13.417,-16.948,67.458,13.504,-17.013,67.077,13.894
12.000,-12.000,83.024,0.100,-17.117,71.581,13.792,-17.118,71.362,13.414,-17.107,67.026,13.503,-17.164,66.644,13.892
12.100,-12.100,83.362,0.100,-17.351,71.303,13.793,-17.349,71.084,13.415,-17.277,66.752,13.504,-17.329,66.369,13.894
12.200,-12.200,83.362,0.100,-17.351,71.303,13.793,-17.349,71.084,13.415,-17.277,66.752,13.504,-17.329,66.369,13.894
12.300,-12.300,85.026,0.100,-17.640,70.857,13.791,-17.633,70.639,13.412,-17.450,66.305,13.503,-17.493,65.920,13.893
12.400,-12.400,85.346,0.100,-17.874,70.571,13.792,-17.864,70.353,13.414,-17.620,66.026,13.505,-17.658,65.640,13.895
12.500,-12.500,85.346,0.100,-17.874,70.571,13.792,-17.864,70.353,13.414,-17.620,66.026,13.505,-17.658,65.640,13.895
12.600,-12.600,87.006,0.100,-18.148,70.121,13.789,-18.132,69.903,13.411,-17.778,65.578,13.503,-17.807,65.191,13.894
12.700,-12.700,87.334,0.100,-18.371,69.833,13.790,-18.351,69.615,13.412,-17.936,65.300,13.505,-17.960,64.912,13.895
12.800,-12.800,87.334,0.100,-18.371,69.833,13.790,-18.351,69.615,13.412,-17.936,65.300,13.505,-17.960,64.912,13.895
12.900,-12.900,88.999,0.100,-18.630,69.380,13.787,-18.605,69.163,13.408,-18.080,64.853,13.503,-18.095,64.464,13.894
13.000,-13.000,89.326,0.100,-18.844,69.088,13.787,-18.816,68.871,13.409,-18.230,64.575,13.504,-18.239,64.186,13.895
13.100,-13.100,89.910,0.100,-19.016,68.822,13.786,-18.985,68.605,13.407,-18.338,64.315,13.503,-18.343,63.926,13.894
13.200,-13.200,89.910,0.100,-19.016,68.822,13.786,-18.985,68.605,13.407,-18.338,64.315,13.503,-18.343,63.926,13.894
13.300,-13.300,91.654,0.100,-19.237,68.379,13.782,-19.201,68.163,13.404,-18.447,63.887,13.501,-18.443,63.497,13.892
13.400,-13.400,91.978,0.100,-19.438,68.085,13.782,-19.399,67.870,13.404,-18.585,63.608,13.503,-18.576,63.218,13.894
13.500,-13.500,91.978,0.100,-19.438,68.085,13.782,-19.399,67.870,13.404,-18.585,63.608,13.503,-18.576,63.218,13.894
13.600,-13.600,93.644,0.100,-19.672,67.624,13.779,-19.627,67.410,13.401,-18.705,63.163,13.501,-18.686,62.773,13.892
13.700,-13.700,93.953,0.100,-19.871,67.323,13.780,-19.823,67.109,13.402,-18.841,62.882,13.503,-18.818,62.492,13.894
13.800,-13.800,93.953,0.100,-19.871,67.323,13.780,-19.823,67.109,13.402,-18.841,62.882,13.503,-18.818,62.492,13.894
13.900,-13.900,95.610,0.100,-20.091,66.858,13.776,-20.037,66.646,13.398,-18.947,62.437,13.500,-18.914,62.048,13.892
14.000,-14.000,95.927,0.100,-20.278,66.556,13.776,-20.221,66.344,13.398,-19.073,62.158,13.502,-19.035,61.768,13.893
14.100,-14.100,96.491,0.100,-20.427,66.280,13.774,-20.367,66.069,13.396,-19.158,61.896,13.500,-19.115,61.507,13.892
14.200,-14.200,96.491,0.100,-20.427,66.280,13.774,-20.367,66.069,13.396,-19.158,61.896,13.500,-19.115,61.507,13.892
14.300,-14.300,98.242,0.100,-20.607,65.830,13.769,-20.542,65.620,13.392,-19.229,61.475,13.498,-19.178,61.087,13.890
14.400,-14.400,98.557,0.100,-20.780,65.527,13.770,-20.712,65.319,13.392,-19.342,61.196,13.499,-19.285,60.808,13.891
14.500,-14.500,98.557,0.100,-20.780,65.527,13.770,-20.712,65.319,13.392,-19.342,61.196,13.499,-19.285,60.808,13.891
14.600,-14.600,100.225,0.100,-20.971,65.058,13.766,-20.898,64.852,13.388,-19.422,60.758,13.497,-19.356,60.372,13.889
14.700,-14.700,100.527,0.100,-21.143,64.749,13.766,-21.066,64.544,13.388,-19.534,60.478,13.498,-19.462,60.091,13.891
14.800,-14.800,100.527,0.100,-21.143,64.749,13.766,-21.066,64.544,13.388,-19.534,60.478,13.498,-19.462,60.091,13.891
14.900,-14.900,102.181,0.100,-21.319,64.278,13.762,-21.237,64.074,13.384,-19.600,60.040,13.495,-19.520,59.656,13.888
15.000,-15.000,102.491,0.100,-21.479,63.968,13.761,-21.395,63.766,13.383,-19.702,59.762,13.496,-19.616,59.378,13.889
15.100,-15.100,103.033,0.100,-21.604,63.685,13.758,-21.517,63.483,13.381,-19.766,59.501,13.494,-19.674,59.118,13.887
15.200,-15.200,103.033,0.100,-21.604,63.685,13.758,-21.517,63.483,13.381,-19.766,59.501,13.494,-19.674,59.118,13.887
15.300,-15.300,104.790,0.100,-21.744,63.231,13.753,-21.651,63.032,13.375,-19.802,59.091,13.492,-19.702,58.710,13.885
15.400,-15.400,105.095,0.100,-21.890,62.923,13.753,-21.794,62.725,13.375,-19.891,58.813,13.493,-19.785,58.433,13.886
15.500,-15.500,105.095,0.100,-21.890,62.923,13.753,-21.794,62.725,13.375,-19.891,58.813,13.493,-19.785,58.433,13.886
15.600,-15.600,106.766,0.100,-22.037,62.451,13.748,-21.936,62.255,13.371,-19.932,58.387,13.490,-19.819,58.009,13.884
15.700,-15.700,107.061,0.100,-22.180,62.137,13.747,-22.077,61.943,13.370,-20.020,58.109,13.491,-19.901,57.732,13.885
15.800,-15.800,107.061,0.100,-22.180,62.137,13.747,-22.077,61.943,13.370,-20.020,58.109,13.491,-19.901,57.732,13.885
15.900,-15.900,108.713,0.100,-22.314,61.663,13.743,-22.206,61.471,13.365,-20.049,57.683,13.488,-19.921,57.309,13.882
16.000,-16.000,109.016,0.100,-22.447,61.349,13.741,-22.335,61.159,13.364,-20.128,57.409,13.489,-19.995,57.036,13.883
16.100,-16.100,109.016,0.100,-22.447,61.349,13.741,-22.335,61.159,13.364,-20.128,57.409,13.489,-19.995,57.036,13.883
16.200,-16.200,110.663,0.100,-22.567,60.875,13.736,-22.451,60.688,13.359,-20.145,56.986,13.486,-20.003,56.617,13.880
16.300,-16.300,110.969,0.100,-22.691,60.560,13.734,-22.572,60.375,13.357,-20.217,56.714,13.486,-20.070,56.346,13.880
16.400,-16.400,110.969,0.100,-22.691,60.560,13.734,-22.572,60.375,13.357,-20.217,56.714,13.486,-20.070,56.346,13.880
16.500,-16.500,112.611,0.100,-22.799,60.087,13.730,-22.675,59.904,13.352,-20.223,56.295,13.483,-20.068,55.931,13.878
16.600,-16.600,112.918,0.100,-22.915,59.772,13.727,-22.788,59.591,13.350,-20.290,56.025,13.483,-20.129,55.662,13.878
16.700,-16.700,113.418,0.100,-23.000,59.481,13.724,-22.871,59.302,13.347,-20.318,55.767,13.480,-20.151,55.407,13.876
16.800,-16.800,113.418,0.100,-23.000,59.481,13.724,-22.871,59.302,13.347,-20.318,55.767,13.480,-20.151,55.407,13.876
16.900,-16.900,115.191,0.100,-23.076,59.031,13.718,-22.942,58.855,13.341,-20.304,55.382,13.478,-20.130,55.025,13.873
17.000,-17.000,115.476,0.100,-23.178,58.718,13.717,-23.041,58.544,13.340,-20.354,55.111,13.478,-20.175,54.756,13.874
17.100,-17.100,115.476,0.100,-23.178,58.718,13.717,-23.041,58.544,13.340,-20.354,55.111,13.478,-20.175,54.756,13.874
17.200,-17.200,117.157,0.100,-23.258,58.251,13.711,-23.117,58.080,13.334,-20.341,54.711,13.475,-20.154,54.360,13.871
17.300,-17.300,117.437,0.100,-23.356,57.934,13.709,-23.212,57.765,13.332,-20.392,54.441,13.476,-20.199,54.092,13.872
17.400,-17.400,117.939,0.100,-23.424,57.643,13.705,-23.278,57.477,13.329,-20.408,54.190,13.472,-20.210,53.845,13.869
17.500,-17.500,117.939,0.100,-23.424,57.643,13.705,-23.278,57.477,13.329,-20.408,54.190,13.472,-20.210,53.845,13.869
